benchmark_id,benchmark_name,category,problem_family,primary_metric,implementation_id,library,algorithm,technology,implementation_version,input_status,capability_status,comparison_track,problem_scope,run_status,solution_status,proof_status,termination_reason,status_reason
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,exact_cp_sat,OR-Tools,strengthened CP-SAT model,C++ core/Python binding,9.15.6755,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=not a prebuilt 3D packer; every problem family needs an explicit integer model
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,exact_cplex,CPLEX,strengthened MIP model,native commercial/Python binding,22.1.2.0,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=promotional license has a 1000-constraint limit | not a prebuilt 3D packer
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,exact_gurobi,Gurobi,strengthened MIP model,native commercial/Python binding,13.0.3,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=commercial production and redistribution licensing required | not a prebuilt 3D packer
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,exact_scip,SCIP/PySCIPOpt,strengthened MIP model,C/C++ core/Python binding,6.2.1,VALID,ADAPTER_MISSING,EXACT_MODEL,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=not a prebuilt 3D packer; every problem family needs an explicit model
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,go_bp3d,gedex/bp3d,pivot greedy,Go sidecar,0ba3dcda7ab334c19b0979b1cf1fa05e09f33bc7,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=PutItem does not enforce cumulative MaxWeight | no per-item orientation subset
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,jerry,jerry800416/3D-bin-packing,pivot/fix-point greedy,Python,75764a2b8a5c8e0a6713a4f672c0a8ff81b1107a,VALID,PROJECTION_ONLY,COMPOSED,GEOMETRY_PROJECTION,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=PROJECTION_ONLY; known_issues=fix-point produced overlapping certificates | loadbear is a sort key rather than a hard load-bearing constraint
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,packingsolver_fork_box,PackingSolver fork,box portfolio,C++14 CLI,d953148b8f710c06fa6c410949b7272f9e36327b,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=SUPPORTED_NATIVE; known_issues=column_generation returned an empty incumbent on THPACK9-47
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,packingsolver_fork_boxstacks,PackingSolver fork,boxstacks portfolio,C++14 CLI,d953148b8f710c06fa6c410949b7272f9e36327b,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=stack support is not a general contact/load-flow model
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,packingsolver_upstream_box,PackingSolver upstream,box portfolio,C++14 CLI,367ebfdaad11424ded3696b7dae799a30c1375d0,VALID,SUPPORTED_NATIVE,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,PLANNED,capability=SUPPORTED_NATIVE; known_issues=upstream issue #536 breaks variable-sized-bin-packing solution comparison
B01,ESICUP THPACK1-7 / BR,PUBLIC_QUALITY,VOLUME_KNAPSACK,packed_volume,packingsolver_upstream_boxstacks,PackingSolver upstream,boxstacks portfolio,C++14 CLI,367ebfdaad11424ded3696b7dae799a30c1375d0,VALID,ADAPTER_MISSING,NATIVE,FULL_PROBLEM,NOT_RUN,NOT_APPLICABLE,NOT_APPLICABLE,ADAPTER_MISSING,capability=ADAPTER_MISSING; known_issues=upstream issue #536 breaks variable-sized-bin-packing solution comparison | upstream issues #537 and #539 affect axle repair and degenerate truck geometry
